,bathrooms,bedrooms,fee,has_photo,pets_allowed,square_feet,latitude,longitude,log_price,amenity_segment
34,1.0,1.0,No,Thumbnail,Both,615,29.4624,-98.5253,6.883462586413092,Basic_Parking
37,1.0,1.0,No,Thumbnail,Both,650,29.4624,-98.5253,6.883462586413092,Basic_Parking
45,1.0,1.0,No,Thumbnail,Both,616,43.2128,-89.3435,6.933423025730715,Family_Oriented
46,2.0,2.0,No,Thumbnail,Both,1391,34.1542,-118.4447,7.8434564043761155,Basic_Parking
47,2.0,3.0,No,Thumbnail,Both,1119,35.4047,-80.6098,7.170119543449628,Low_Amenity
48,1.0,2.0,No,Thumbnail,Both,431,38.8738,-77.1055,7.346010209913293,Low_Amenity
49,1.0,2.0,No,Thumbnail,Both,900,38.7999,-77.1072,7.552762084214147,Family_Oriented
51,2.0,4.0,No,Thumbnail,Cats,2100,41.8625,-87.6825,8.183397369998433,Basic_Parking
52,1.0,1.0,No,Thumbnail,Both,360,36.116,-95.9281,6.206575926724928,Basic_Parking
54,1.0,1.0,No,Thumbnail,Both,509,28.5163,-81.3644,6.881411303642535,Family_Oriented
55,1.0,2.0,No,Thumbnail,Both,390,41.824,-71.4315,7.647786045440933,Family_Oriented
56,1.0,1.0,No,Thumbnail,Both,568,47.6485,-117.2657,6.621405651764134,Low_Amenity
57,1.0,1.0,No,Thumbnail,Both,663,40.4993,-74.5214,7.297091005160418,Family_Oriented
58,2.0,4.0,No,Thumbnail,Both,1100,40.1171,-88.1889,7.409136443920128,Low_Amenity
59,1.0,1.0,No,Thumbnail,Both,840,40.3613,-86.9005,7.0909098220799835,Basic_Parking
61,1.0,2.0,No,Thumbnail,Both,572,38.5587,-121.432,7.234177179749849,Lifestyle_Recreation
62,1.0,1.0,No,Thumbnail,Both,735,38.9163,-94.3719,6.915723448631314,Family_Oriented
63,2.0,3.0,No,Thumbnail,Both,1544,30.2989,-81.6324,7.313220387090301,Lifestyle_Recreation
64,1.0,1.0,No,Thumbnail,Both,685,30.1213,-93.7711,6.51025834052315,Family_Oriented
65,1.0,2.0,No,Thumbnail,Both,745,40.0213,-105.2552,7.555381944240273,Family_Oriented
67,1.0,1.0,No,Thumbnail,Both,755,39.4276,-76.7727,7.060476365999801,Basic_Parking
68,1.0,2.0,No,Thumbnail,Both,563,35.823,-78.6438,6.656726524178391,Family_Oriented
69,1.0,1.0,No,Thumbnail,Both,550,27.7873,-82.6772,6.962243464266207,Lifestyle_Recreation
70,1.0,1.0,No,Thumbnail,Both,443,29.7714,-95.4343,6.501289670540389,Lifestyle_Recreation
75,1.0,1.0,No,Thumbnail,Both,760,41.8625,-87.6825,7.557994958530806,Basic_Parking
81,1.0,1.0,No,Thumbnail,Both,685,46.882,-102.7862,6.7464121285733745,Basic_Parking
94,1.0,1.0,No,Thumbnail,Both,882,29.4624,-98.5253,6.883462586413092,Basic_Parking
