bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,state,latitude,longitude,amenity_segment,log_price
1.0,1.0,No,Thumbnail,Both,729.0,800,TX,29.4624,-98.5253,Low_Amenity,6.593044534142437
1.0,1.0,No,Thumbnail,,1060.0,650,TX,30.3054,-97.7497,Higher_Amenities,6.966967138613983
1.0,1.0,No,Thumbnail,,1003.0,797,TX,30.5118,-97.6873,Lifestyle_Recreation,6.911747300251674
1.0,1.0,No,Thumbnail,,837.0,444,TX,30.3054,-97.7497,Basic_Parking,6.731018100482083
1.0,1.0,No,Thumbnail,,1020.0,692,TX,30.3054,-97.7497,Basic_Parking,6.928537818164665
1.0,1.0,No,Thumbnail,,985.0,693,TX,30.3054,-97.7497,Lifestyle_Recreation,6.893656354602635
1.0,1.0,No,Thumbnail,,1581.0,703,TX,30.3054,-97.7497,Lifestyle_Recreation,7.366445148327599
1.0,1.0,No,Thumbnail,,1090.0,665,TX,30.6505,-97.6809,Basic_Parking,6.994849985833071
1.0,1.0,No,Thumbnail,,962.0,532,TX,30.3054,-97.7497,Basic_Parking,6.870053411798126
1.0,1.0,No,Thumbnail,,1722.0,453,TX,30.3054,-97.7497,Low_Amenity,7.45182223652793
1.0,1.0,No,Thumbnail,,840.0,540,TX,30.5118,-97.6873,Basic_Parking,6.734591659972948
1.0,1.0,No,Thumbnail,Both,975.0,615,TX,29.4624,-98.5253,Basic_Parking,6.883462586413092
1.0,1.0,No,Thumbnail,Both,975.0,650,TX,29.4624,-98.5253,Basic_Parking,6.883462586413092
1.0,1.0,No,Thumbnail,Both,671.0,685,TX,30.1213,-93.7711,Family_Oriented,6.51025834052315
1.0,1.0,No,Thumbnail,,945.0,530,TX,29.4624,-98.5253,Low_Amenity,6.852242569051878
1.0,1.0,No,Thumbnail,Both,665.0,443,TX,29.7714,-95.4343,Lifestyle_Recreation,6.501289670540389
1.0,1.0,No,Thumbnail,Both,975.0,882,TX,29.4624,-98.5253,Basic_Parking,6.883462586413092
1.0,1.0,No,Thumbnail,,1103.0,652,TX,30.3054,-97.7497,Basic_Parking,7.00669522683704
1.0,1.0,No,Thumbnail,,1032.0,600,TX,30.3054,-97.7497,Basic_Parking,6.940222469119639
1.0,2.0,No,Thumbnail,,1729.0,448,TX,30.3054,-97.7497,Lifestyle_Recreation,7.455876687491824
1.0,2.0,No,Thumbnail,,920.0,420,TX,30.3054,-97.7497,Low_Amenity,6.825460036255307
1.0,1.0,No,Thumbnail,,1339.0,726,TX,30.4973,-97.8276,Higher_Amenities,7.200424892944957
1.0,1.0,No,Thumbnail,Both,932.0,725,TX,29.5521,-95.307,Low_Amenity,6.838405200847344
1.0,1.0,No,Thumbnail,,1225.0,450,TX,30.5969,-96.3034,Family_Oriented,7.111512116496157
2.0,3.0,No,Thumbnail,Both,1525.0,1698,TX,32.5285,-97.3119,Low_Amenity,7.330405211844402
1.0,1.0,No,Thumbnail,Both,535.0,539,TX,29.7714,-95.4343,Lifestyle_Recreation,6.284134161070802
1.0,1.0,No,Thumbnail,Both,877.0,1003,TX,29.7714,-95.4343,Low_Amenity,6.777646593635117
1.0,1.0,No,Thumbnail,Both,1889.0,939,TX,29.7714,-95.4343,Basic_Parking,7.5443321080536885
1.0,1.0,No,Thumbnail,Both,1150.0,580,TX,29.7714,-95.4343,Lifestyle_Recreation,7.048386408721883
1.0,1.0,No,Thumbnail,Dogs,825.0,550,TX,30.6505,-97.6809,Low_Amenity,6.716594773520978
3.0,4.0,No,Thumbnail,Both,2700.0,2528,TX,30.6505,-97.6809,Low_Amenity,7.901377353792616
1.0,1.0,No,Thumbnail,Both,885.0,660,TX,30.1051,-98.4216,Low_Amenity,6.786716950605081
1.0,1.0,No,Thumbnail,Both,985.0,642,TX,30.3054,-97.7497,Low_Amenity,6.893656354602635
1.0,1.0,No,Thumbnail,Both,825.0,856,TX,32.7407,-97.3394,Low_Amenity,6.716594773520978
1.0,1.0,No,Thumbnail,,1155.0,697,TX,30.5104,-97.9027,Low_Amenity,7.052721049232323
1.0,3.0,No,Thumbnail,,1210.0,597,TX,30.3054,-97.7497,Lifestyle_Recreation,7.099201743553092
1.0,1.0,No,Thumbnail,,1554.0,777,TX,30.3054,-97.7497,Lifestyle_Recreation,7.349230824613334
1.0,1.0,No,Thumbnail,,1130.0,792,TX,30.3054,-97.7497,Lifestyle_Recreation,7.030857476116121
1.0,1.0,No,Thumbnail,,1125.0,658,TX,30.3054,-97.7497,Low_Amenity,7.026426808699636
1.0,1.0,No,Thumbnail,Both,1391.0,677,TX,32.8212,-96.7853,Low_Amenity,7.238496840894365
1.0,2.0,No,Thumbnail,,1050.0,508,TX,30.3054,-97.7497,Low_Amenity,6.957497370876951
1.0,1.0,No,Thumbnail,Both,2500.0,724,TX,30.3054,-97.7497,Basic_Parking,7.824445930877619
1.0,1.0,No,Thumbnail,Both,2184.0,835,TX,30.3054,-97.7497,Basic_Parking,7.68937110752969
1.0,1.0,No,Thumbnail,Both,2186.0,843,TX,32.8212,-96.7853,Low_Amenity,7.690286020676768
1.0,1.0,No,Thumbnail,,930.0,610,TX,30.3054,-97.7497,Basic_Parking,6.836259277277067
1.0,1.0,No,Thumbnail,,895.0,690,TX,29.4624,-98.5253,Low_Amenity,6.79794041297493
